英国AB农业有限公司	英美烟草	阿尔森德渔业公司	阿尔森德渔业公司	法国阿利芳公司	法国阿利芳公司	法国阿利芳公司	法国阿利芳公司	阿尔森德渔业公司	阿尔森德渔业公司	法国阿利芳公司	法国阿利芳公司	法国阿利芳公司	法国阿利芳公司	法国阿利芳公司	英国AB农业有限公司
		E太平船务有限公司		霍高文建筑系统	德国邮政全球网络	川崎汽船株式会社		赛福国际货运代理有限公司	天保名门国际货运代理有限公司	富士通株式会社	中国专利代理（香港）有限公司	Seco Tools AB	皆斯内（上海）物业管理服务有限公司	富而德律师事务所	华美线业有限公司
		E太平船务有限公司		新加坡CPG集团	中菲行航空货运承揽股份有限公司	川崎汽船株式会社		上海华星国际集装箱货运有限公司	华隆瑞锋货运	富士通株式会社	"	法国城市照明管理集团"	上海哈瑞克斯金属制品有限公司	昇智企业有限公司	何燿棣律师事务所	英威达公司
		E太平船务有限公司		新加坡CPG集团	中菲行航空货运承揽股份有限公司	川崎汽船株式会社		上海密尔克卫国际集装箱货运有限公司	华隆瑞锋货运	富士通株式会社	CJB-China Ltd.	上海克虏伯不锈钢有限公司	信安达中国公司	格威?舒伯?拜耳律师事务所	Jammers & Leufgen GmbH & Co. KG
		E太平船务有限公司		大东建托株式会社	中菲行航空货运承揽股份有限公司	新加坡吉宝物流私人有限公司		Sungil	华隆瑞锋货运	富士通株式会社	"1	CLS Communication AG CLS Communication AG"	上海克虏伯不锈钢有限公司	信安达中国公司	经纶律师事务所	佳齐服饰用品有限公司
		E太平船务有限公司		大和房屋工业株式会社	中菲行航空货运承揽股份有限公司	新加坡吉宝物流私人有限公司		西日本旅客铁道株式会社	华隆瑞锋货运	富士通株式会社	香港中华厂商联合会工业发展基金有限公司(厂商会检定中心)	山西海锐五金工业有限公司	信安达中国公司	法国基德律师事务所	"1	Johns Manville Johns Manville"
		E太平船务有限公司		大连福凯船舶设计有限公司	中菲行航空货运承揽股份有限公司	嘉里大通物流有限公司		邮船航空航运(香港)有限公司	华隆瑞锋货运	富士通株式会社	亚洲博闻有限公司	新韩金刚石工业有限公司	H? E. F? Group	法国基德律师事务所	"1	Johns Manville Johns Manville"
		E太平船务有限公司		大连福凯船舶设计有限公司	中菲行航空货运承揽股份有限公司	嘉里大通物流有限公司		中陆公司	华隆瑞锋货运	富士通株式会社	"	COMEXPOSIUM"	思博五金塑胶(东莞)有限公司	Hogg Robinson Group	天睿律师事务所	浪莎控股集团
		E太平船务有限公司		DFS	中菲行航空货运承揽股份有限公司	嘉里大通物流有限公司		美星仓储物流	华隆瑞锋货运	富士通株式会社	新加坡会议与展览管理服务有限公司	瑞典SSAB钢板有限公司	卡乐工房(北京)展示技术有限公司	海问律师事务所	意大利彼尔纤纱公司
		E太平船务有限公司		德和威工程项目咨询	中菲行航空货运承揽股份有限公司	嘉里大通物流有限公司		美星仓储物流	华隆瑞锋货运	富士通株式会社	西迪士集团	住友金属工业株式会社	洪吉商贸服务	海问律师事务所	瑞典莉迪斯有限公司
		E太平船务有限公司		法塔股份有限公司	中菲行航空货运承揽股份有限公司	嘉里大通物流有限公司		Jervis Webb	华隆瑞锋货运	富士通株式会社	西迪士集团	泰戈特	"1	IAV GmbH IAV GmbH"	希仕廷律师行	Linz Textil
		E太平船务有限公司		美国福陆公司	中菲行航空货运承揽股份有限公司	嘉里大通物流有限公司		欧德油储	华隆瑞锋货运	富士通株式会社	法国发展咨询有限公司	德国蒂森克虏伯股份公司	IHS香港有限公司	美国海陆国际律师事务所	Lollytogs Ltd.
		E太平船务有限公司		美国福陆公司	中菲行航空货运承揽股份有限公司	嘉里大通物流有限公司		美国普洛斯	华隆瑞锋货运	富士通株式会社	德尔达市场及投资有限公司	德国蒂森克虏伯股份公司	IHS香港有限公司	英国史密夫律师事务所	鲁泰纺织股份有限公司
		E太平船务有限公司		Foster Wheeler Inc.	中菲行航空货运承揽股份有限公司	嘉里大通物流有限公司		美国普洛斯	Magistral Container Lines	富士通株式会社	挪威船级社	德国蒂森克虏伯股份公司	美国国际管理集团	英国史密夫律师事务所	聚阳股份有限公司
		E太平船务有限公司		Foster Wheeler Inc.	中菲行航空货运承揽股份有限公司	嘉里大通物流有限公司		美国普洛斯	Maimex S.p.A.	富士通株式会社	挪威船级社	德国蒂森克虏伯股份公司	澳大利亚金禾移民教育中心	爱莱罗律师事务所	Marja Kurki Oy
		E太平船务有限公司		金门建筑有限公司	中菲行航空货运承揽股份有限公司	嘉里大通物流有限公司		上海宝湾国际物流有限公司	Maimex S.p.A.	富士通株式会社	挪威船级社	德国蒂森克虏伯股份公司	IMO Group	霍金豪森律师事务所	Marja Kurki Oy
		E太平船务有限公司		金门建筑有限公司	中菲行航空货运承揽股份有限公司	嘉里大通物流有限公司		日本株式会社住友仓库	Maimex S.p.A.	富士通株式会社	挪威船级社	德国蒂森克虏伯股份公司	IMQ Group	霍金豪森律师事务所	玛卓托
		E太平船务有限公司		嘉图有限责任合伙制公司	中菲行航空货运承揽股份有限公司	崴航集团		威特隆集团	文安船务有限公司	富士通株式会社	挪威船级社	德国蒂森克虏伯股份公司	英策汉	霍金路伟国际律师事务所	万事达公司
		汎洲海运株式会社		"Gateway Engineers, Inc."	中菲行航空货运承揽股份有限公司	近铁国际货运集团		安吉汽车租赁有限公司	Martin Bencher (Scandinavia) A/S	富士通株式会社	挪威船级社	德国蒂森克虏伯股份公司	Inspectorate	英国夏礼文律师事务所	湖北美岛(集团)服装有限公司
		汎洲海运株式会社		全盛工程管理咨询有限公司	中菲行航空货运承揽股份有限公司	韩国大仁轮渡有限公司		钻石租赁株式会社	MARUBA	富士通株式会社	挪威船级社	德国蒂森克虏伯股份公司	国际供应商审核公司	许林律师行	美世美华服饰有限公司
		汎洲海运株式会社		gmp	中菲行航空货运承揽股份有限公司	高丽海运株式会社		赫兹	MARUBA	富士通株式会社	挪威船级社	德国蒂森克虏伯股份公司	Intertek Group pic	澳大利亚汉氏律师事务所	米歇尔国际有限公司
		汎洲海运株式会社		gmp	中菲行航空货运承揽股份有限公司	高丽海运株式会社		上海环实机械设备有限公司	丸全昭和运输株式会社	富士通株式会社	挪威船级社	德国蒂森克虏伯股份公司	Intertek Group pic	英国英士律师事务所	美利肯有限公司
		I泛亚班量		GSE Group	中菲行航空货运承揽股份有限公司	高丽海运株式会社		Showtec Communications Pte Ltd.	丸全昭和运输株式会社	富士通株式会社	Deutsche Messe AG	德国蒂森克虏伯股份公司	Intertek Group pic	"J&A Garrigues, S?L?"	纽威集团
		I泛亚班量		马龙建筑及机械有限公司	中菲行航空货运承揽股份有限公司	高丽海运株式会社		3M	深圳永航国际船务代理有限公司	富士通株式会社	Deutsche Messe AG	德国蒂森克虏伯股份公司	Intralink Ltd.	甘士打律师行	旭荣集团
		I泛亚班量		马龙建筑及机械有限公司	中菲行航空货运承揽股份有限公司	高丽海运株式会社		3M	深圳永航国际船务代理有限公司	富士通株式会社	Deutsche Messe AG	德国蒂森克虏伯股份公司	Isaberg Rapid	甘士打律师行	美国新联合有限公司
		I泛亚班量		合乐集团	中菲行航空货运承揽股份有限公司	KSA International Inc.		3M	深圳永航国际船务代理有限公司	富士通株式会社	德迈国际有限公司	德国蒂森克虏伯股份公司	欧艾斯	美国众达律师事务所	法国NSC集团
		I泛亚班量		韩美派森斯	中菲行航空货运承揽股份有限公司	KSS LINE LTD.		3M	深圳永航国际船务代理有限公司	富士通株式会社	杜比实验室	德国蒂森克虏伯股份公司	意大利意杰股份有限公司	美国众达律师事务所	尾崎商事株式会社
		I泛亚班量		HATCH Ltd.	中菲行航空货运承揽股份有限公司	德迅集团		3M	深圳永航国际船务代理有限公司	富士通株式会社	龙源	Timcal Graphite and Carbon	Ivie	君合律师事务所	碧姬亚洲有限公司
		I泛亚班量		HATCH Ltd.	中菲行航空货运承揽股份有限公司	德迅集团		3M	深圳永航国际船务代理有限公司	富士通株式会社	亚控国际贸易	德国蒂泰克斯公司	上海吉萨投资管理咨询有限公司	君合律师事务所	Polymax Group
		I泛亚班量		恒隆威建筑设计咨询	中菲行航空货运承揽股份有限公司	德迅集团		3M	深圳永航国际船务代理有限公司	富士通株式会社	国际卫浚	TLI Thomas Lange GmbH	京慕国际展览有限公司	君合律师事务所	"Polymer Group, Inc."
		I泛亚班量		德国豪赫蒂夫股份公司	中菲行航空货运承揽股份有限公司	德迅集团		3M	深圳永航国际船务代理有限公司	富士通株式会社	Dussmann Group	日本东海炭素公司株式会社	JS Associate Limited	君合律师事务所	"Polymer Group, Inc."
		I泛亚班量		胡克科克雷蒙	中菲行航空货运承揽股份有限公司	德迅集团		3M	深圳永航国际船务代理有限公司	富士通株式会社	代邦能源技术服务有限公司	东京磁铁（香港）有限公司	KEMA	君合律师事务所	乔丹(中国)有限公司
		I泛亚班量		合和实业有限公司	中菲行航空货运承揽股份有限公司	德迅集团		3M	深圳永航国际船务代理有限公司	富士通株式会社	e-way europe ApS	西班牙钢管联合有限公司	德国科隆国际展览有限公司	君泽君律师事务所	青岛瑞丝染整有限公司
		I泛亚班量		厚利巴乔平伊冯股份有限公司	中菲行航空货运承揽股份有限公司	德迅集团		3M	深圳永航国际船务代理有限公司	I Fusion Systems Ltd. Fusion Systems Ltd.	瑞源国际公司	美国钢铁	德国科隆国际展览有限公司	高盖茨律师事务所	瑞蒙德有限公司
		I泛亚班量		厚利巴乔平伊冯股份有限公司	中菲行航空货运承揽股份有限公司	德迅集团		3M	深圳永航国际船务代理有限公司	资信利公司	美国克劳斯公司	Unisteel Technology Ltd.	德国科隆国际展览有限公司	美国凯寿律师事务所	瑞玛-图塔控股公司
		I泛亚班量		中标新亚机电工程有限公司	中菲行航空货运承揽股份有限公司	德迅集团		3M	美国美森轮船有限公司	捷德公司	易安特技术顾问有限公司	美国钢铁公司	KOH-I-NOOR HARDMUTH	凯赫律师事务所	S.T.D.
		I泛亚班量		安诚工程顾问有限公司	中菲行航空货运承揽股份有限公司	德迅集团		3M	地中海航运公司	捷德公司	美国EFI有限公司	瓦卢瑞克&曼内斯曼钢管公司	国誉株式会社	凯德律师事务所	昇亚洋行有限公司
		I泛亚班量		安诚工程顾问有限公司	中菲行航空货运承揽股份有限公司	德迅集团		3M	地中海航运公司	捷德公司	一木	瓦卢瑞克&曼内斯曼钢管公司	国誉株式会社	君信律师事务所	Satab
		I泛亚班量		德杰盟	中菲行航空货运承揽股份有限公司	德迅集团		3M	地中海航运公司	捷德公司	北京悠悠英语翻译服务有限公司	瓦卢瑞克&曼内斯曼钢管公司	国誉株式会社	君信律师事务所	上海阿特来夫高级服装有限公司
		I泛亚班量		约翰波特曼建筑设计事务所	中菲行航空货运承揽股份有限公司	德迅集团		3M	地中海航运公司	美国通用新技术国际公司	假罗系统技术咨询（上海）有限公司	华富集团	国誉株式会社	黑田法律事务所	上海科恳服装检修整理有限公司
		I泛亚班量		Johnson Controls Inc.	中菲行航空货运承揽股份有限公司	德迅集团		3M	地中海航运公司	Google Inc?	中欧公司集团	华富集团	国誉株式会社	美国瑞生律师事务所	上海以琳贸易有限公司
		I泛亚班量		Johnson Controls Inc.	中菲行航空货运承揽股份有限公司	德迅集团		3M	地中海航运公司	Google Inc?	世健科技有限公司	华富集团	Kompass	理慈国际科技法律事务所	夏梦?意杰服饰有限公司
		I泛亚班量		Johnson Controls Inc.	中菲行航空货运承揽股份有限公司	兰州捷时特物流有限公司		A. S. Watson & Co. Ltd.	地中海航运公司	美国磐研公司	世健科技有限公司	Wheelabrator Allevard Group	德安华	雷曼律师事务所	深圳华丝企业股份有限公司
		I泛亚班量		Johnson Controls Inc.	中菲行航空货运承揽股份有限公司	美国立盟海空通运股份有限公司		亚马逊	地中海航运公司	I GrapeCity inc. GrapeCity inc.	Experian Ltd.	五金公司	德安华	雷曼律师事务所	深圳华丝企业股份有限公司
		I泛亚班量		Johnson Controls Inc.	中菲行航空货运承揽股份有限公司	利普国际有限公司		Associated Merchandising Corp.	地中海航运公司	恒信科技有限公司	艾博特科	五金公司	玖马商社	年利达律师事务所	杭州华谊服装有限公司
		I泛亚班量		Johnson Controls Inc.	中菲行航空货运承揽股份有限公司	连云港中韩轮渡有限公司		欧尚	地中海航运公司	哈通咨询	联邦快递金考	五金公司	伦敦出口有限公司	年利达律师事务所	北京顺美服装股份有限公司
		I泛亚班量		Johnson Controls Inc.	中菲行航空货运承揽股份有限公司	赛航国际物流		百安居	地中海航运公司	哈通咨询	联邦快递金考	扎米尔钢结构有限公司	LifeLine International	利卫	德国南方毛业有限公司
		PBB环球物流集团		Johnson Controls Inc.	中菲行航空货运承揽股份有限公司	上海精裕捷星物流有限公司		百安居	马沙利奥货运	惠普	联邦快递金考	德国三S软件有限公司	香港纬中有限公司	法国励法律师事务所	秀德士涂层织物有限公司
		PBB环球物流集团		Johnson Controls Inc.	中菲行航空货运承揽股份有限公司	Logfret Inc.		"Best Buy Co?, Inc?"	马沙利奥货运	惠普	联邦快递金考	Ace Solutions	英国劳氏船级社	法国励法律师事务所	Taubert Textil GmbH
		鹿特丹港		Josef Gartner GmbH	中菲行航空货运承揽股份有限公司	Logfret Inc.		百音国际有限公司	马沙利奥货运	惠普	联邦快递金考	宏基股份有限公司	伦敦商务中心	万盛国际律师事务所	泰尼卡集团
		I丹麦运佳货运有限公司		裕廊集团	中菲行航空货运承揽股份有限公司	Logfret Inc.		凯乐玩具	马沙利奥货运	惠普	联邦快递金考	宏基股份有限公司	洛瓦	万盛国际律师事务所	奥地利兰精集团
		I丹麦运佳货运有限公司		嘉华建材有限公司	中菲行航空货运承揽股份有限公司	Logfret Inc.		家乐福	马沙利奥货运	惠普	联邦快递金考	宏基股份有限公司	Luxoom Medienprojekte GmbH	美国余晨峰律师事务所	奥地利兰精集团
		I丹麦运佳货运有限公司		KAJIMA CORP.	中菲行航空货运承揽股份有限公司	Logwin Air ??????????????+????????????? Ocean China Ltd.		家乐福	马沙利奥货运	惠普	联邦快递金考	安讯公司	德国美习专业会展服务	澳大利亚铭德律师事务所	奥地利兰精集团
		I丹麦运佳货运有限公司		关东建设工业株式会社	中菲行航空货运承揽股份有限公司	Logwin Air ??????????????+????????????? Ocean China Ltd.		家乐福	马沙利奥货运	惠普	联邦快递金考	苹果电脑公司	Madame Tussauds	日本森?滨田松本法律事务所	奥地利兰精集团
		I丹麦运佳货运有限公司		Kellogg Brown & Root KBR	中菲行航空货运承揽股份有限公司	龙珠国际有限公司		家乐福	马沙利奥货运	惠普	远雄国际商务中心	爱普瑞斯软件有限公司	美瀚有限公司	日本森?滨田松本法律事务所	天津津达制衣有限公司
		I丹麦运佳货运有限公司		加拿大凯顿国际公司	中菲行航空货运承揽股份有限公司	天保名门国际货运代理有限公司		家乐福	千禧国际货运(中国)有限公司	惠普	远雄国际商务中心	法国彩虹计算机公司	法国马培德	美国美富律师事务所	特朗斯福转移印花纸有限公司
		I丹麦运佳货运有限公司		拉森·特博洛有限公司	中菲行航空货运承揽股份有限公司	天保名门国际货运代理有限公司		家乐福	美联船务有限公司	惠普	远雄国际商务中心	亚微信息技术（安徽）有限公司	曼弗雷救援公司	美国美富律师事务所	"1	TWE Nonwoven TWE Nonwoven"
		I有限公司		Leighton Holdings Limited	中菲行航空货运承揽股份有限公司	天保名门国际货运代理有限公司		家乐福	商船三井株式会社	惠普	远雄国际商务中心	"Aspen Technology, Inc?"	曼弗雷救援公司	吴少鹏律师事务所	宇高株式会社
		I有限公司		Leighton Holdings Limited	中菲行航空货运承揽股份有限公司	天保名门国际货运代理有限公司		上海香港三联书店	现代货箱码头有限公司	华泰	芬华创新中心有限公司	"Aspen Technology, Inc?"	"1	MCI Group Holding SA MCI Group Holding SA"	巴西诺劳亚律师事务所	Union AG
		I中国有限公司		林德纳	中菲行航空货运承揽股份有限公司	华隆瑞锋货运		高斯美亚	美国万德联运有限公司	华泰	富达国际有限公司	"Autonomy, Inc?"	Menzies Aviation pic	英国诺顿罗氏律师事务所	Union AG
		青松科技集团		美施威尔有限公司	凯宏航空货运承揽股份有限公司	华隆瑞锋货运		Dairy Farm Group	美国万德联运有限公司	海博通公司	G2j? com	丰达软件	杜塞尔多夫展览（中国）有限公司	英国诺顿罗氏律师事务所	Vision Textiles
		青松科技集团		Maeda Corp.	Dockwise Shipping B.V.	华隆瑞锋货运		迪卡侬有限公司	Mueller+Partner GmbH	i1 inc.	德国劳氏船级社	美国贝克软件公司	杜塞尔多夫展览（中国）有限公司	美国美迈斯律师事务所	开莉公司
		青松科技集团		玛格巴	多达国际货运代理有限公司	华隆瑞锋货运		迪卡侬有限公司	美国N?W?约翰森航运有限公司	美国恩杰软件科技	德国劳氏船级社	美国贝克软件公司	杜塞尔多夫展览（中国）有限公司	美国美迈斯律师事务所	厦门华铃集团有限公司
		青鶴远洋大亚物流有限公司		Maire Tecnimont S.p.A	迪拜环球港务集团	华隆瑞锋货运		eBay	南星海运株式会社	中以联科电子安装工程(北京)有限公司	德国劳氏船级社	北京昌民技术有限公司	杜塞尔多夫展览（中国）有限公司	大江桥法律事务所	新宇纺织
		I有限责任公司		摩根工程公司	得斯威	华隆瑞锋货运		FoxTown Factory Stores	南星海运株式会社	中以联科电子安装工程(北京)有限公司	德国劳氏船级社	北京麦克泰软件技术有限公司	杜塞尔多夫展览（中国）有限公司	"I	ORRICK ORRICK"	丹麦亚洲市场研究有限公司
		宏海箱运有限公司		Ms Techno	得斯威	华隆瑞锋货运		恒山国际有限公司	南星海运株式会社	中以联科电子安装工程(北京)有限公司	德国劳氏船级社	明基电通股份有限公司	法兰克福展览有限公司	"I	ORRICK ORRICK"	B2B International Ltd.
		宏海箱运有限公司		恩比建	得斯威	华隆瑞锋货运		Hennes & Mauritz AB	南星海运株式会社	IDS Scheer AG	德国劳氏船级社	奔特力工程软件有限公司	法兰克福展览有限公司	胡百全律师事务所	CBC Switzerland Ltd.
		宏海箱运有限公司		恩比建	安通国际航运有限公司	华隆瑞锋货运		Home Depot	南星海运株式会社	IDS Scheer AG	德国劳氏船级社	深圳市昆仲科技有限公司	法兰克福展览有限公司	普衡律师事务所	CBC Switzerland Ltd.
		宏海箱运有限公司		NRS AS	国信（香港）有限公司	华隆瑞锋货运		乐购	日捆物流（中国）有限公司	"ILOG, Inc"	美国格理集团公司	Cegid Group	I Montfort Werbung GmbH Montfort Werbung GmbH	普衡律师事务所	CBC Switzerland Ltd.
		宏海箱运有限公司		株式会社大林组	上海铱力物流有限公司	华隆瑞锋货运		英迈国际	日捆物流（中国）有限公司	美国IMAG工业公司	GHD	上海畅聚商务软件有限公司	摩迪国际集团	美国宝维斯律师事务所	CBC Switzerland Ltd.
		I华捷国际运输代理有限公司		株式会社大林组	爱多乐物流（天津）有限公司	华隆瑞锋货运		英迈国际	日捆物流（中国）有限公司	imbus AG	上海极山商务有限公司	"Cidana, Inc?"	摩迪国际集团	美国博钦律师事务所	帕萨尔格博士咨询服务有限公司
		I华捷国际运输代理有限公司		Orange Design	韩国EUKOR有限公司	华隆瑞锋货运		英迈国际	日捆物流（中国）有限公司	西班牙英德拉公司	集团	施特伟	德国慕尼黑国际博览集团	美国博钦律师事务所	索福瑞媒介研究
		I华捷国际运输代理有限公司		ORGAtec Associates	长荣海运股份有限公司	Maimex S.p.A.		英迈国际	日捆物流（中国）有限公司	恩富全球解决方案	皆斯内（上海）物业管理服务有限公司	科蓝软件系统有限公司	Nalco Company	黄乾亨黄英豪律师事务所	索福瑞媒介研究
		I华捷国际运输代理有限公司		诚公司	长荣海运股份有限公司	Maimex S.p.A.		英迈国际	日捆物流（中国）有限公司	恩富全球解决方案	皆斯内（上海）物业管理服务有限公司	美国康孚系统公司	Nalco Company	美国必百瑞律师事务所	索福瑞媒介研究
		I华捷国际运输代理有限公司		诚公司	长荣海运股份有限公司	文安船务有限公司		英迈国际	宁波北仑国际集装箱码头有限公司	恩富全球解决方案	昇智企业有限公司	仁宝电脑工业股份有限公司	Nalco Company	英国品诚梅森律师事务所	索福瑞媒介研究
		I华捷国际运输代理有限公司		诚公司	长荣海运股份有限公司	马丁奔驰（斯堪的纳维亚）有限公司		英迈国际	日本货物航空有限公司	印孚瑟斯技术有限公司	信安达中国公司	CompuSys/Erisa Group	Nalco Company	立杰律师事务所	索福瑞媒介研究
		I华捷国际运输代理有限公司		诚公司	长荣海运股份有限公司	MARUBA		英迈国际	日本通运公司	印孚瑟斯技术有限公司	信安达中国公司	希意禧信息系统有限公司	纳格西斯株式会社	英国齐伯礼律师事务所	CTR市场研究
		I华捷国际运输代理有限公司		诚公司	恒通国际货运有限公司	MARUBA		英迈国际	日本通运公司	英迈	信安达中国公司	CBS软件系统咨询有限公司	新加坡纽恩杰有限公司	香港罗拔臣律师事务所	CTR市场研究
		I华捷国际运输代理有限公司		"Peridian International, Inc."	恒通国际货运有限公司	丸全昭和运输株式会社		英迈国际	日本通运公司	英迈	H? E. F? Group	科迪思	立新国际展览有限公司	新加坡瑞德律师事务所	CTR市场研究
		I华捷国际运输代理有限公司		Pflaum & Sohne Bausysteme GmbH	恒通国际货运有限公司	美国美森轮船有限公司		英迈国际	日本通运公司	英迈	Hogg Robinson Group	中远网络(北京)有限公司	i会议展览有限公司	英国胜蓝律师事务所	CTR市场研究
		I华捷国际运输代理有限公司		PTW Architects	金鹰国际货运代理有限公司	地中海航运公司		英迈国际	NNR Global Logistics USA Inc.	创道软件	卡乐工房(北京)展示技术有限公司	中软鸿美信息技术有限公司	英国OAG国际有限公司	英国胜蓝律师事务所	数达企业管理咨询有限公司
		I华捷国际运输代理有限公司		PTW Architects	金鹰国际货运代理有限公司	地中海航运公司		英迈国际	NNR Global Logistics USA Inc.	英特尔公司	"	IAV GmbH"	DDS物流软件公司	I Ocean 51 Ocean 51	德国申特海姆律师事务所	龙洲经讯
		I华捷国际运输代理有限公司		Royal Boskalis Westminster nv	运展物流有限公司	万络国际		英迈国际	NNR Global Logistics USA Inc.	英特尔公司	IHS香港有限公司	戴尔	OCRA Worldwide	德国舒尔茨?诺阿克?贝尔文克尔律师事务所	伊梅资源有限公司
		I华捷国际运输代理有限公司		RTKL Associates Inc.	Expeditors International of Washington Inc.	马沙利奥货运		Karstadt Quelle AG	NNR Global Logistics USA Inc.	英特尔公司	IHS香港有限公司	戴尔	OCRA Worldwide	美国谢尔曼?思特灵律师事务所	Estel Research
		I华捷国际运输代理有限公司		S2F	Expeditors International of Washington Inc.	千禧国际货运（中国）有限公司		翠丰集团	NNR Global Logistics USA Inc.	英特尔公司	美国国际管理集团	"	法国迪康公司"	OCTANORM Vertriebs GmbH	盛德国际律师事务所	Euromonitor International Plc.
		I华捷国际运输代理有限公司		赛班公司	Expeditors International of Washington Inc.	美联船务有限公司		易初莲花超市	NNR Global Logistics USA Inc.	英特尔公司	澳大利亚金禾移民教育中心	美国艺电有限公司	奥西集团	盛德国际律师事务所	弗里多尼亚集团公司
		I华捷国际运输代理有限公司		德国旭格国际集团	Expeditors International of Washington Inc.	商船三井株式会社		Makro Asia Management Ltd.	来宝集团	英特尔公司	I IMO Group IMO Group	艾利贝斯集团	奥西集团	西盟斯律师行	GfK Group
		I华捷国际运输代理有限公司		新加坡胜科工程建筑私人有限公司	泛成国际货运有限公司	商船三井株式会社		马诺	来宝集团	英特尔公司	IMQ Group	卓星泰信（北京）科技有限公司	奥西集团	香港薛冯邙岑律师事务所	GfK Group
		I华捷国际运输代理有限公司		斯帕姆专家有限公司	法通联运股份有限公司	商船三井株式会社		Mega Mart	NOL集团■美集物流	英特尔公司	英策汉	飓风网络香港有限公司	欧廷有限公司	美国世达律师事务所	ICLP
		I华捷国际运输代理有限公司		上海美建钢结构有限公司	FIEGE	现代货箱码头有限公司		锦江麦德龙	NOL集团■美集物流	Intergraph Corp?	"1	Inspectorate Inspectorate"	飓风网络香港有限公司	法新翻译事务所	美国翰宇国际律师事务所	博太
		nRhenus AG & Co. KG Rhenus AG & Co. KG		深圳宝恒诚电气设备工程公司	FIEGE	鸿霖全球运输公司		锦江麦德龙	NOL集团■美集物流	Intergraph Corp?	国际供应商审核公司	飓风网络香港有限公司	英国PFB咨询有限公司	美国翰宇国际律师事务所	英德知
		鹏达船务有限公司		清水建设株式会社	德国弗莱士亚洲有限公司	美国万德联运有限公司		锦江麦德龙	NOL集团■美集物流	国际商业机器	Intertek Group pic	飓风网络香港有限公司	Pico International (HK) Ltd.	罗夏信律师事务所	美国国际数据集团
		鹏达船务有限公司		深圳市丝科实业发展有限公司	弗玛物流	米勒伙伴有限公司		锦江麦德龙	NOL集团■美集物流	国际商业机器	Intertek Group pic	Fortinet	Pico International (HK) Ltd.	罗夏信律师事务所	美国国际数据集团
		鹏达船务有限公司		英国中国基建合作有限公司	天霖国际货运集团	美国N.W.约翰森航运有限公司		锦江麦德龙	NOL集团■美集物流	国际商业机器	Intertek Group pic	富朗巴软件科技(上海)有限公司	Pico International (HK) Ltd.	史蒂文生黄律师事务所	美国国际数据集团
		鹏达船务有限公司		英国中国基建合作有限公司	天霖国际货运集团	南星海运株式会社		锦江麦德龙	NOL集团■美集物流	国际商业机器	Intertek Group pic	智乐软件	Pico International (HK) Ltd.	德国泰乐信律师事务所	美国国际数据集团
		鹏达船务有限公司		SOM建筑师事务所	天霖国际货运集团	南星海运株式会社		锦江麦德龙	NOL集团■美集物流	国际商业机器	Intralink Ltd.	技嘉科技有限公司	Pico International (HK) Ltd.	德国泰乐信律师事务所	美国国际数据集团
		鹏达船务有限公司		SNC兰万灵国际有限公司	Fracht AG	南星海运株式会社		锦江麦德龙	NOL集团■美集物流	国际商业机器	Isaberg Rapid	金色千年网络集团	"I Pinkerton Government Services, Inc? Pinkerton Government Services, Inc?"	TMI Associates	美国国际数据集团
		环世国际物流股份有限公司		SNC兰万灵国际有限公司	Fracht AG	宁波北仑国际集装箱码头有限公司		锦江麦德龙	NOL集团■美集物流	国际商业机器	欧艾斯	"GXS,lnc?"	"I Pinkerton Government Services, Inc? Pinkerton Government Services, Inc?"	简松年律师事务所	美国国际数据集团
		环世国际物流股份有限公司		澳大利亚事百世有限公司	捷富凯	日本货物航空有限公司		锦江麦德龙	NOL集团■美国总统轮船	国际商业机器	意大利意杰股份有限公司	Hansky Inc?	"I Pinkerton Government Services, Inc? Pinkerton Government Services, Inc?"	权亚律师事务所	美国国际数据集团
		环世国际物流股份有限公司		澳大利亚事百世有限公司	正航太平洋轮船公司	日本通运公司		锦江麦德龙	NOL集团■美国总统轮船	国际商业机器	英特科技网络公司	Hansky Inc?	必能宝	权亚律师事务所	Ipsos
		环世国际物流股份有限公司		澳大利亚事百世有限公司	乔达国际货运代理有限公司	日本通运公司		锦江麦德龙	NOL集团■美国总统轮船	国际商业机器	■ Ivie	Hifn Inc.	必能宝	长盛律师事务所	Ipsos
		环世国际物流股份有限公司		思迈机电工程顾问	乔达国际货运代理有限公司	日本通运公司		锦江麦德龙	NOL集团■美国总统轮船	国际商业机器	上海吉萨投资管理咨询有限公司	威达电集团	必能宝	UGGC & Associes	Ipsos
		环世国际物流股份有限公司		思迈机电工程顾问	乔达国际货运代理有限公司	日本包运输仓库株式会社		锦江麦德龙	NOL集团■美国总统轮船	国际商业机器	京慕国际展览有限公司	N/A	动点管理咨询有限公司	UGGC & Associes	明略行
		环世国际物流股份有限公司		思迈机电工程顾问	Global Fritz	日本包运输仓库株式会社		锦江麦德龙	NOL集团■美国总统轮船	国际商业机器	KEMA	N/A	动点管理咨询有限公司	张叶司徒陈律师事务所	明略行
		环世国际物流股份有限公司		三井住友建设株式会社	Globe Express Services	日本包运输仓库株式会社		锦江麦德龙	NOL集团■美国总统轮船	国际商业机器	德国科隆国际展览有限公司	N/A	动点管理咨询有限公司	美国文森艾尔斯律师事务所	NetBooster Group
